,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
65,4826,2000,gmc yukon,like new,8,gas,226111,automatic,SUV,grey,1,2018-06-30,14
66,9599,2011,chevrolet camaro,good,6,gas,100680,manual,coupe,silver,0,2018-10-26,18
67,8499,2009,bmw x5,good,6,gas,104482,automatic,SUV,blue,1,2019-03-04,52
68,26000,2017,ford mustang gt coupe 2d,good,8,gas,31100,other,coupe,yellow,0,2018-11-26,31
69,18800,2015,chevrolet camaro lt coupe 2d,good,6,gas,33926,other,coupe,grey,0,2019-01-16,152
70,18000,2010,ram 1500,good,8,gas,50500,automatic,truck,white,1,2018-06-16,11
71,32000,2017,honda pilot,like new,6,gas,32104,automatic,SUV,white,0,2018-07-12,100
72,8995,2012,toyota rav4,excellent,4,gas,124526,automatic,SUV,black,1,2018-12-14,24
73,9995,2017,hyundai sonata,excellent,4,gas,105985,automatic,sedan,white,0,2018-05-02,18
74,24600,2013,ford mustang gt coupe 2d,good,8,gas,22474,other,coupe,white,0,2018-10-28,22
75,6500,2012,ford fusion se,excellent,6,gas,90000,automatic,sedan,grey,0,2018-09-20,94
76,3995,2008,subaru forester,excellent,4,gas,165000,automatic,SUV,white,1,2018-12-24,19
77,26000,2015,chevrolet silverado 1500 crew,good,8,gas,92281,automatic,pickup,white,1,2019-04-02,82
78,18700,2017,nissan frontier crew cab sv,good,6,gas,40002,other,pickup,white,0,2018-06-01,44
79,10800,2015,chevrolet colorado,excellent,5,gas,114922,automatic,truck,red,1,2018-06-23,35
80,5500,2004,ford explorer,good,6,gas,140355,automatic,SUV,white,1,2018-09-10,35
81,22900,2014,ford f150 supercrew cab xlt,good,6,gas,73711,automatic,pickup,white,1,2019-02-27,141
82,26700,2015,ford f150 supercrew cab xlt,good,6,gas,48278,other,pickup,brown,1,2018-09-22,64
83,21500,2019,nissan frontier crew cab sv,good,6,gas,16168,other,pickup,white,0,2019-03-29,70
84,19700,2017,chevrolet camaro lt coupe 2d,good,6,gas,35807,other,coupe,black,0,2019-03-11,33
85,24200,2018,chevrolet camaro lt coupe 2d,good,6,gas,28341,other,coupe,grey,0,2018-07-20,57
86,22800,2013,ford f-350 sd,good,8,diesel,207738,automatic,truck,brown,1,2018-11-08,62
87,28400,2017,ford mustang gt coupe 2d,good,8,gas,6665,other,coupe,blue,0,2018-05-16,46
88,29900,2018,ford mustang gt coupe 2d,good,8,gas,3827,automatic,coupe,yellow,0,2019-03-22,48
89,24600,2014,chevrolet silverado 1500 crew,good,6,gas,85048,automatic,pickup,silver,1,2018-08-19,96
90,23700,2018,nissan frontier crew cab sv,good,6,gas,12901,other,pickup,black,1,2018-09-21,8
91,28900,2017,ford f150 supercrew cab xlt,good,6,gas,51676,automatic,pickup,white,1,2018-09-18,58
92,14800,2016,kia sorento,like new,4,gas,97000,automatic,SUV,brown,0,2019-02-27,93
93,33900,2018,chevrolet silverado 1500 crew,good,8,gas,11315,other,pickup,white,1,2019-03-01,2
94,4800,2006,honda accord,like new,4,gas,195000,automatic,sedan,silver,0,2018-12-12,49
95,4500,2012,chevrolet impala,excellent,6,gas,145000,automatic,sedan,white,0,2018-10-10,38
96,21595,2015,chevrolet silverado 1500,excellent,8,gas,92634,automatic,truck,black,1,2018-11-15,53
97,37000,2018,chevrolet silverado 1500 crew,good,8,gas,30465,other,pickup,white,1,2019-01-13,55
98,22900,2019,nissan frontier crew cab sv,good,6,gas,24209,other,pickup,blue,1,2019-04-15,67
99,10999,2010,ford edge,good,6,gas,98193,automatic,SUV,blue,1,2018-08-11,78
100,2900,2000,nissan maxima,good,6,gas,170000,automatic,sedan,green,0,2018-09-23,12
101,2700,2005,chevrolet equinox,good,6,gas,150352,automatic,SUV,silver,0,2019-04-02,49
102,2900,2000,nissan maxima,good,6,gas,102300,automatic,sedan,green,0,2019-04-09,27
103,9500,2009,ford f-250,good,8,gas,189490,automatic,truck,white,1,2018-08-03,6
104,4900,2011,nissan sentra,good,4,gas,116000,automatic,sedan,silver,0,2018-11-30,19
105,24000,2018,nissan frontier crew cab sv,good,6,gas,16295,other,pickup,blue,1,2018-05-26,30
106,18200,2012,nissan frontier crew cab sv,good,6,gas,24209,other,pickup,white,0,2018-09-19,30
107,28000,2016,ford mustang gt coupe 2d,good,8,gas,31100,other,coupe,black,0,2018-11-20,28
108,24700,2015,ford mustang gt coupe 2d,good,8,gas,37270,other,coupe,black,0,2019-04-16,41
109,26900,2014,chevrolet silverado 1500 crew,good,8,gas,68607,automatic,pickup,black,1,2018-07-28,18
110,4500,2013,nissan altima,excellent,4,gas,140000,automatic,sedan,silver,0,2019-03-29,108
111,19500,2014,ford f150,excellent,8,gas,116000,automatic,truck,grey,1,2018-06-26,40
112,2000,1993,ford f-150,good,8,gas,258225,automatic,truck,red,0,2019-03-06,34
113,13995,2010,chevrolet silverado 1500,excellent,8,gas,151442,automatic,truck,silver,1,2018-12-20,72
114,11995,2012,chevrolet suburban,excellent,8,gas,158487,automatic,SUV,grey,1,2018-11-10,16
115,8995,2011,chevrolet silverado 1500,excellent,8,gas,119726,automatic,truck,grey,1,2019-03-18,27
116,15995,2013,jeep wrangler,excellent,6,gas,138806,automatic,SUV,black,1,2018-09-08,112
117,7995,2012,chevrolet cruze,excellent,4,gas,81559,automatic,sedan,black,0,2018-12-16,57
118,28250,2017,chevrolet silverado 1500,excellent,8,gas,13808,automatic,truck,white,1,2018-08-17,11
119,6995,2004,ford expedition,excellent,8,gas,92546,automatic,SUV,blue,1,2018-05-23,18
120,13900,2016,dodge grand caravan,excellent,6,gas,62711,automatic,van,black,0,2019-04-11,37
121,28975,2017,chevrolet silverado 1500,excellent,8,gas,8354,automatic,truck,black,1,2019-01-07,13
122,14995,2011,jeep wrangler,excellent,6,gas,118371,automatic,SUV,orange,1,2019-01-25,49
123,12990,2011,ford expedition,good,8,gas,124775,automatic,SUV,custom,1,2018-06-11,50
124,26400,2016,ford mustang gt coupe 2d,good,8,gas,16890,other,coupe,white,0,2018-05-15,10
125,17300,2014,chevrolet camaro lt coupe 2d,good,6,gas,27915,other,coupe,red,0,2019-01-16,25
126,26700,2017,ford mustang gt coupe 2d,good,8,gas,26192,other,coupe,black,0,2019-02-14,17
127,18975,2012,chevrolet silverado 1500,excellent,8,gas,24390,automatic,truck,white,0,2018-11-15,61
128,23300,2018,nissan frontier crew cab sv,good,6,gas,24209,other,pickup,grey,1,2018-07-24,73
129,31800,2018,chevrolet silverado 1500 crew,good,8,gas,22838,automatic,pickup,white,1,2019-01-29,29
130,3995,1999,acura tl,good,6,gas,180000,automatic,sedan,black,0,2018-06-19,52
131,18600,2012,ford mustang gt coupe 2d,good,8,gas,96562,other,coupe,red,0,2018-12-20,14
132,21100,2017,chevrolet camaro lt coupe 2d,good,6,gas,24510,other,coupe,red,0,2019-04-19,38
133,2500,2009,toyota camry,good,6,gas,150000,automatic,sedan,silver,0,2018-06-13,68
134,3995,2001,ford ranger,good,6,gas,102000,automatic,truck,brown,0,2018-05-27,79
135,3650,2012,kia soul,excellent,4,gas,93324,automatic,wagon,white,0,2018-07-11,50
136,7975,2007,gmc sierra,excellent,8,gas,228409,automatic,truck,white,0,2018-10-27,15
137,3595,2005,chevrolet impala,good,6,gas,147667,automatic,sedan,red,0,2018-11-12,30
138,9850,2008,chevrolet silverado 1500,good,8,gas,182225,automatic,truck,blue,1,2018-08-15,36
139,18600,2012,ford mustang gt coupe 2d,good,8,gas,96562,other,coupe,red,0,2018-07-31,59
140,21100,2017,chevrolet camaro lt coupe 2d,good,6,gas,24510,other,coupe,red,0,2019-03-29,1
141,5995,2006,ford ranger,good,6,gas,148600,automatic,truck,silver,1,2018-11-10,35
142,8995,2005,ram 1500,good,8,gas,107871,automatic,truck,grey,1,2019-03-10,33
143,31400,2016,chevrolet silverado 1500 crew,good,8,gas,15070,automatic,pickup,black,1,2019-01-17,64
144,24200,2018,nissan frontier crew cab sv,good,6,gas,11034,other,pickup,blue,1,2018-06-29,9
145,10990,2006,chevrolet silverado 1500,good,8,gas,93726,automatic,truck,white,1,2018-05-17,19
146,15950,2015,honda cr-v,excellent,4,gas,124000,other,SUV,black,1,2018-09-22,12
147,7500,1997,ford mustang,good,8,gas,185000,manual,coupe,white,0,2019-01-05,9
148,11950,2003,jeep wrangler,excellent,6,gas,97211,automatic,SUV,custom,1,2018-08-01,15
149,16950,2010,jeep wrangler,excellent,6,gas,85490,other,SUV,red,1,2018-12-26,29
150,6800,2010,honda cr-v,excellent,4,gas,186000,automatic,SUV,grey,1,2018-12-22,25
151,3000,2008,honda accord,good,6,gas,204000,automatic,coupe,blue,0,2018-05-18,21
152,15000,2009,toyota tacoma,excellent,6,gas,221000,automatic,truck,black,1,2019-02-20,30
153,52000,2008,ford f350 super duty,good,8,diesel,117500,automatic,truck,grey,1,2018-06-27,24
154,3950,2009,subaru impreza,excellent,4,gas,137882,automatic,hatchback,silver,1,2018-08-22,19
155,5295,2005,ford f-150,good,8,gas,225000,automatic,pickup,white,1,2018-06-19,15
156,6995,2009,ford ranger,good,4,gas,141500,automatic,pickup,white,0,2019-03-31,130
157,5999,2012,nissan versa,excellent,4,gas,76737,automatic,sedan,silver,0,2018-07-31,3
158,10000,2006,ford f-150,excellent,8,gas,181000,automatic,truck,silver,1,2018-07-17,9
159,17999,2008,gmc sierra 2500hd,excellent,8,diesel,101959,automatic,truck,white,1,2018-05-06,46
160,8499,2015,nissan rogue,excellent,4,gas,123360,automatic,wagon,blue,1,2019-03-28,28
161,7999,2012,nissan rogue,excellent,4,gas,93496,automatic,wagon,black,0,2018-10-15,29
162,15900,2012,ford escape,excellent,4,gas,19764,automatic,SUV,black,1,2018-07-03,32
163,28200,2012,ford f-350 sd,excellent,8,diesel,129000,automatic,truck,black,1,2018-07-15,30
164,2000,2002,honda civic lx,good,4,gas,216875,automatic,coupe,red,0,2018-05-21,47
165,22914,2015,bmw x5,excellent,6,gas,69686,automatic,SUV,white,1,2018-08-11,19
166,19900,2013,ford f-150,excellent,6,gas,79657,automatic,truck,silver,1,2018-10-30,42
167,34900,2017,ford f-250 sd,excellent,8,gas,97249,automatic,truck,white,1,2018-11-12,13
168,24495,2016,ford explorer,excellent,6,gas,50123,automatic,SUV,white,1,2018-11-17,49
169,5300,2010,dodge charger,good,8,gas,156000,automatic,sedan,white,0,2018-07-04,43
170,22900,2015,gmc sierra 1500,excellent,8,gas,85190,automatic,truck,custom,1,2018-05-15,24
171,14685,2011,toyota tacoma,excellent,6,gas,145671,automatic,truck,black,1,2019-01-03,8
172,24869,2015,gmc sierra 1500,excellent,8,gas,82056,automatic,truck,black,1,2019-03-20,23
173,5995,2006,honda odyssey,excellent,6,gas,148000,automatic,van,red,0,2019-04-10,33
174,4999,2005,toyota camry le,excellent,4,gas,105000,automatic,sedan,silver,0,2019-03-01,60
175,7800,2012,chevrolet traverse,good,6,gas,157000,automatic,SUV,blue,1,2018-11-30,4
176,4975,2007,honda odyssey,excellent,6,gas,205000,automatic,mini-van,brown,0,2018-10-28,35
177,500,2004,toyota corolla,like new,4,gas,104300,automatic,sedan,blue,0,2018-09-17,24
178,2800,2006,ford escape,excellent,6,gas,106000,automatic,SUV,white,0,2018-05-11,5
179,10800,2015,toyota camry,excellent,4,gas,28150,automatic,sedan,black,1,2018-09-25,24
180,2750,2006,honda civic lx,good,4,gas,200,manual,sedan,black,0,2018-07-06,41
181,7995,2008,jeep grand cherokee,excellent,6,gas,104613,automatic,SUV,silver,1,2018-05-23,23
182,22500,2013,ford f-250 sd,good,8,gas,128415,automatic,truck,green,1,2019-03-03,32
183,6995,2005,honda accord,like new,6,gas,45429,automatic,sedan,grey,0,2018-11-04,53
184,11795,2015,toyota tacoma,excellent,4,gas,111048,automatic,truck,white,0,2018-09-30,30
185,8795,2014,honda civic,excellent,4,gas,85452,automatic,sedan,grey,0,2018-09-11,164
186,6995,2011,hyundai sonata,excellent,4,gas,117371,automatic,sedan,grey,1,2019-02-26,20
187,6795,2013,volkswagen passat,excellent,5,gas,119453,automatic,sedan,red,0,2018-12-12,19
188,6795,2012,volkswagen jetta,excellent,5,gas,104310,automatic,sedan,white,0,2019-03-11,16
189,7995,2014,chevrolet cruze,excellent,4,gas,120052,automatic,sedan,blue,0,2018-10-27,27
190,25800,2015,toyota tacoma,like new,6,gas,49900,automatic,pickup,white,1,2018-07-24,39
191,8595,2010,toyota prius,excellent,4,gas,99630,automatic,hatchback,white,0,2019-02-05,44
192,8995,2010,toyota prius,excellent,4,gas,74138,automatic,hatchback,white,0,2018-07-09,38
193,7995,2010,honda accord,excellent,4,gas,90880,automatic,sedan,grey,0,2018-09-16,3
194,6995,2010,jeep liberty,excellent,6,gas,105771,automatic,SUV,brown,1,2019-02-05,19
195,4795,2007,nissan altima,excellent,4,gas,131020,automatic,sedan,grey,0,2018-10-19,31
196,6500,2009,ford f-250,good,8,gas,113000,automatic,pickup,white,1,2018-09-09,19
197,22800,2013,ford f-350 sd,good,8,diesel,120000,automatic,truck,brown,1,2018-09-27,38
198,1500,2001,jeep grand cherokee,good,6,gas,185000,automatic,SUV,black,1,2018-10-15,56
199,9799,2017,nissan altima,excellent,4,gas,51153,automatic,sedan,silver,1,2018-06-23,35
200,11799,2014,chevrolet camaro,excellent,6,gas,50468,automatic,coupe,yellow,0,2018-12-30,39
201,5700,2002,chevrolet silverado 1500,good,8,gas,105000,automatic,pickup,silver,1,2018-06-17,68
202,3700,2009,nissan rogue,good,4,gas,174902,automatic,SUV,black,0,2019-03-14,31
203,24399,2013,ram 1500,excellent,8,gas,97321,automatic,pickup,red,1,2019-01-08,43
204,11799,2015,chevrolet camaro,excellent,6,gas,26881,automatic,coupe,red,0,2019-02-03,21
205,9299,2016,nissan altima,excellent,4,gas,47833,automatic,sedan,silver,0,2019-01-19,75
206,3750,2007,jeep grand cherokee laredo,fair,6,gas,131800,automatic,SUV,grey,1,2018-06-29,50
207,3800,2012,nissan altima,good,4,gas,186576,automatic,sedan,black,0,2019-01-02,37
208,7995,2011,subaru forester,good,4,gas,112000,automatic,SUV,blue,1,2019-02-12,53
209,23200,2018,chevrolet camaro lt coupe 2d,good,6,gas,7136,other,coupe,black,0,2018-08-18,25
210,5500,1981,chevrolet corvette,fair,8,gas,75000,automatic,coupe,blue,0,2019-01-15,49
211,9100,2014,kia sorento,good,4,gas,100100,automatic,SUV,silver,1,2018-08-30,74
212,8977,2013,kia sorento,excellent,4,gas,85415,automatic,SUV,silver,0,2018-07-25,72
213,8675,2012,buick enclave,good,6,gas,113728,automatic,SUV,brown,0,2018-05-06,36
214,14975,2007,toyota 4runner,good,6,gas,156000,automatic,SUV,silver,0,2018-05-13,57
215,20675,2018,ford escape,good,4,gas,106000,automatic,SUV,black,1,2018-09-29,30
216,19675,2008,gmc sierra 2500hd,good,8,gas,120525,automatic,truck,grey,1,2018-09-22,35
217,14995,2011,chevrolet silverado 1500,good,8,gas,114587,automatic,truck,grey,1,2018-11-02,11
218,13889,2005,gmc sierra 2500hd,good,8,gas,95914,automatic,truck,custom,1,2018-07-13,37
219,5000,2011,toyota camry le,excellent,4,gas,173000,automatic,sedan,white,0,2018-06-26,19
220,6100,2013,ford fusion,good,4,gas,99507,automatic,sedan,silver,0,2018-07-19,80
221,3250,2001,ford f150,fair,8,gas,296000,automatic,truck,black,1,2018-12-07,24
222,28200,2012,ford f-350 sd,excellent,8,diesel,129000,automatic,truck,black,1,2018-09-26,28
223,34900,2017,ford f-250 sd,excellent,8,gas,97249,automatic,truck,white,1,2018-12-06,56
224,22914,2015,bmw x5,excellent,6,gas,69686,automatic,SUV,white,1,2018-07-07,9
225,19900,2013,ford f-150,excellent,6,gas,79657,automatic,truck,silver,1,2019-03-01,4
226,24869,2015,gmc sierra 1500,excellent,8,gas,82056,automatic,truck,black,1,2018-06-29,22
227,9950,2013,toyota prius,excellent,4,hybrid,101200,automatic,hatchback,silver,0,2018-08-24,11
228,5999,2012,nissan altima,excellent,4,gas,99000,automatic,sedan,black,0,2018-12-27,28
229,4900,2007,toyota rav4,like new,6,gas,122000,automatic,SUV,blue,0,2019-03-17,13
230,3995,2013,chrysler 200,good,4,gas,85000,automatic,sedan,black,0,2018-09-26,4
231,10900,2012,toyota tacoma,excellent,4,gas,132000,manual,pickup,red,1,2018-10-10,46
232,3500,2004,toyota camry,fair,4,gas,155000,automatic,sedan,white,0,2018-11-16,33
233,41999,2018,ram 3500,good,6,diesel,5127,automatic,truck,black,0,2018-08-03,11
234,35999,2015,ram 2500,good,6,diesel,157558,automatic,truck,grey,1,2018-12-13,59
235,28999,2012,ram 2500,good,6,diesel,146875,automatic,truck,silver,1,2018-07-22,51
236,32999,2012,ram 3500,good,6,diesel,126201,automatic,truck,silver,1,2018-10-26,58
237,7800,2010,nissan frontier,excellent,6,gas,160266,automatic,truck,red,1,2018-08-06,55
238,14999,2016,honda cr-v,excellent,4,gas,32000,automatic,SUV,grey,1,2018-08-10,66
239,19999,2015,gmc sierra,excellent,8,gas,43000,automatic,truck,white,1,2019-04-01,63
240,4999,2008,chrysler town & country,excellent,6,gas,129448,automatic,mini-van,white,0,2018-06-15,13
241,3500,2016,honda accord,excellent,4,gas,30300,automatic,sedan,black,0,2018-09-21,67
242,15600,2016,subaru outback,excellent,4,gas,106700,automatic,wagon,black,1,2018-05-08,40
243,4488,2003,toyota rav4,excellent,4,gas,122000,automatic,SUV,silver,1,2019-03-18,11
244,14995,2016,toyota rav4,excellent,4,gas,122000,automatic,SUV,black,0,2018-09-25,109
245,2500,2016,honda civic,excellent,4,gas,35000,automatic,sedan,white,0,2018-10-12,8
246,18488,2014,ford f-150,good,8,gas,104906,automatic,truck,blue,0,2019-02-12,17
247,15674,2017,chevrolet equinox,good,4,gas,51276,automatic,SUV,silver,0,2019-04-06,39
248,14999,2013,ford f-150,good,6,gas,52520,automatic,truck,white,1,2018-05-02,23
249,7999,2013,ford focus,good,4,gas,127230,automatic,sedan,red,0,2018-09-28,9
250,9877,2010,toyota corolla,good,4,gas,153510,automatic,sedan,white,0,2018-07-06,17
251,16999,2003,chevrolet silverado 2500hd,good,8,gas,238986,automatic,truck,white,1,2019-02-08,10
252,8850,2017,nissan versa,good,4,gas,31501,automatic,sedan,white,0,2018-12-28,42
253,24900,2016,chevrolet silverado 1500,excellent,8,gas,32000,automatic,truck,silver,1,2019-01-29,5
254,3900,2016,ford explorer,excellent,6,gas,52000,automatic,SUV,blue,0,2018-08-18,10
255,2500,2015,nissan rogue,excellent,4,gas,25600,automatic,SUV,black,0,2018-09-22,53
256,32000,2016,gmc yukon,good,8,gas,142334,automatic,SUV,black,1,2019-03-19,37
257,2700,2016,honda civic,excellent,4,gas,27000,automatic,sedan,white,0,2018-06-20,73
258,13500,2012,gmc sierra 1500,excellent,8,gas,143000,automatic,truck,silver,0,2019-02-18,81
259,12750,2011,gmc sierra 2500hd,good,8,gas,226000,automatic,truck,white,1,2018-10-28,29
260,9500,2015,nissan altima,excellent,4,gas,84000,automatic,sedan,red,0,2019-02-07,34
261,3000,2016,nissan rogue,excellent,4,gas,58000,automatic,SUV,blue,0,2019-03-04,14
262,600,1999,toyota camry le,salvage,4,gas,216348,automatic,sedan,white,0,2019-03-04,23
263,2500,2016,honda civic,excellent,4,gas,46000,automatic,sedan,black,0,2019-02-17,90
264,2900,2016,honda civic,excellent,4,gas,18000,automatic,sedan,grey,0,2018-06-14,13
265,5500,2017,ford explorer,excellent,6,gas,25000,automatic,SUV,grey,1,2019-03-01,10
266,11900,2005,ford f250 super duty,good,8,diesel,119358,automatic,truck,blue,0,2018-05-27,62
267,11745,2011,chevrolet silverado 1500,excellent,8,gas,120000,automatic,truck,white,0,2018-10-11,42
268,30000,2015,jeep wrangler unlimited,excellent,6,gas,13365,automatic,SUV,white,1,2019-03-28,31
269,15250,2011,ford f-150,excellent,8,gas,97000,automatic,truck,grey,1,2019-03-30,37
270,2200,1995,ford f250 super duty,good,8,gas,149963,automatic,truck,orange,0,2018-05-01,59
271,4500,2009,jeep liberty,good,6,gas,171000,automatic,SUV,black,1,2019-01-23,16
272,25000,2009,ford f-250 super duty,excellent,8,diesel,136539,automatic,truck,black,1,2018-06-09,39
273,5900,2007,ram 2500,good,8,gas,229000,automatic,pickup,white,1,2018-07-10,61
274,13000,2004,chevrolet corvette,good,8,gas,85104,automatic,convertible,blue,0,2018-10-12,127
275,4995,2004,honda accord,excellent,4,gas,176722,automatic,sedan,blue,0,2019-02-22,17
276,9200,2017,nissan sentra,excellent,4,gas,12000,automatic,sedan,grey,0,2018-12-26,26
277,5999,2007,chrysler 300,excellent,6,gas,122000,automatic,sedan,grey,0,2018-12-05,6
278,6000,2005,subaru outback,excellent,4,gas,148000,automatic,wagon,blue,0,2018-06-26,47
279,5500,2006,ford f150,excellent,8,gas,123000,automatic,truck,white,0,2018-05-16,56
280,12995,2009,chevrolet suburban,excellent,8,gas,157976,automatic,SUV,white,1,2018-12-17,32
281,8000,2003,gmc yukon,good,8,gas,142334,automatic,SUV,grey,1,2018-06-08,26
282,15800,2009,gmc sierra 1500,excellent,8,gas,150000,automatic,truck,white,0,2018-07-03,36
283,4000,2005,honda pilot,excellent,6,gas,167000,automatic,SUV,red,1,2018-05-12,8
284,2999,2003,ford focus,good,4,gas,96479,automatic,sedan,red,0,2018-11-30,24
285,2999,2004,volkswagen jetta,good,4,gas,149000,manual,sedan,silver,0,2018-07-31,15
